node_id,cycle_participation,chain_length_mean,revisit_hist_0,revisit_hist_1,revisit_hist_2,revisit_hist_3,revisit_hist_4,revisit_hist_5,revisit_hist_6,revisit_hist_7,revisit_hist_8,walk_valid_mask
0,0.046875,8.65625,0.734375,0.203125,0.046875,0.015625,0.0,0.0,0.0,0.0,0.0,1.0
1,0.046875,8.78125,0.796875,0.1875,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,0.03125,8.6875,0.703125,0.28125,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,0.03125,8.640625,0.703125,0.234375,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,0.0,8.71875,0.75,0.21875,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,0.015625,8.71875,0.75,0.234375,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,1.0
6,0.046875,8.359375,0.625,0.1875,0.125,0.046875,0.015625,0.0,0.0,0.0,0.0,1.0
7,0.015625,8.796875,0.84375,0.109375,0.046875,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,0.09375,8.625,0.703125,0.25,0.015625,0.03125,0.0,0.0,0.0,0.0,0.0,1.0
9,0.046875,8.625,0.65625,0.3125,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11,0.0,8.875,0.90625,0.0625,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,0.015625,8.75,0.78125,0.1875,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,0.015625,8.828125,0.84375,0.140625,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,0.046875,8.75,0.765625,0.21875,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,0.078125,8.578125,0.71875,0.1875,0.046875,0.046875,0.0,0.0,0.0,0.0,0.0,1.0
16,0.03125,8.8125,0.84375,0.125,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,0.046875,8.75,0.796875,0.15625,0.046875,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18,0.0,8.78125,0.78125,0.21875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
